frame_idx,label,num_detections,mean_confidence
0,degraded,2,0.38108694553375244
1,degraded,0,0.0
2,degraded,0,0.0
3,degraded,0,0.0
4,degraded,0,0.0
5,degraded,0,0.0
6,degraded,0,0.0
7,degraded,0,0.0
8,degraded,1,0.3078446090221405
9,degraded,0,0.0
10,degraded,0,0.0
11,degraded,1,0.26573076844215393
12,degraded,1,0.44633883237838745
13,degraded,0,0.0
14,degraded,0,0.0
15,degraded,0,0.0
16,degraded,1,0.2843383550643921
17,degraded,0,0.0
18,degraded,1,0.31560906767845154
19,degraded,1,0.26669207215309143
20,degraded,0,0.0
21,degraded,1,0.5382756590843201
22,degraded,0,0.0
23,degraded,0,0.0
24,degraded,0,0.0
25,degraded,0,0.0
26,degraded,0,0.0
27,degraded,0,0.0
28,degraded,0,0.0
29,degraded,0,0.0
30,degraded,0,0.0
31,degraded,0,0.0
32,degraded,0,0.0
33,degraded,0,0.0
34,degraded,0,0.0
35,degraded,0,0.0
36,degraded,0,0.0
37,degraded,0,0.0
38,degraded,0,0.0
39,degraded,0,0.0
40,degraded,0,0.0
41,degraded,0,0.0
42,degraded,0,0.0
43,degraded,0,0.0
44,degraded,0,0.0
45,degraded,0,0.0
46,degraded,0,0.0
47,degraded,0,0.0
48,degraded,0,0.0
49,degraded,0,0.0
50,degraded,0,0.0
51,degraded,0,0.0
52,degraded,0,0.0
53,degraded,0,0.0
54,degraded,0,0.0
55,degraded,0,0.0
56,degraded,0,0.0
57,degraded,0,0.0
58,degraded,0,0.0
59,degraded,0,0.0
60,degraded,0,0.0
61,degraded,0,0.0
62,degraded,0,0.0
63,degraded,0,0.0
64,degraded,0,0.0
65,degraded,0,0.0
66,degraded,0,0.0
67,degraded,0,0.0
68,degraded,0,0.0
69,degraded,0,0.0
70,degraded,0,0.0
71,degraded,0,0.0
72,degraded,0,0.0
73,degraded,0,0.0
74,degraded,0,0.0
75,degraded,0,0.0
76,degraded,0,0.0
77,degraded,0,0.0
78,degraded,0,0.0
79,degraded,0,0.0
80,degraded,0,0.0
81,degraded,0,0.0
82,degraded,0,0.0
83,degraded,0,0.0
84,degraded,0,0.0
85,degraded,0,0.0
86,degraded,0,0.0
87,degraded,0,0.0
88,degraded,0,0.0
89,degraded,0,0.0
90,degraded,0,0.0
91,degraded,0,0.0
92,degraded,0,0.0
93,degraded,0,0.0
94,degraded,0,0.0
95,degraded,0,0.0
96,degraded,0,0.0
97,degraded,0,0.0
98,degraded,0,0.0
99,degraded,0,0.0
100,degraded,0,0.0
101,degraded,0,0.0
102,degraded,0,0.0
103,degraded,0,0.0
104,degraded,0,0.0
105,degraded,0,0.0
106,degraded,0,0.0
107,degraded,0,0.0
108,degraded,0,0.0
109,degraded,0,0.0
110,degraded,0,0.0
111,degraded,0,0.0
112,degraded,0,0.0
113,degraded,0,0.0
114,degraded,0,0.0
115,degraded,0,0.0
116,degraded,0,0.0
117,degraded,0,0.0
118,degraded,0,0.0
119,degraded,0,0.0
120,degraded,0,0.0
121,degraded,0,0.0
122,degraded,0,0.0
123,degraded,0,0.0
124,degraded,0,0.0
125,degraded,0,0.0
126,degraded,0,0.0
127,degraded,0,0.0
128,degraded,0,0.0
129,degraded,0,0.0
130,degraded,0,0.0
131,degraded,0,0.0
132,degraded,0,0.0
133,degraded,0,0.0
134,degraded,0,0.0
135,degraded,0,0.0
136,degraded,0,0.0
137,degraded,0,0.0
138,degraded,0,0.0
139,degraded,0,0.0
140,degraded,0,0.0
141,degraded,0,0.0
142,degraded,0,0.0
143,degraded,0,0.0
144,degraded,0,0.0
145,degraded,0,0.0
146,degraded,0,0.0
147,degraded,0,0.0
148,degraded,0,0.0
149,degraded,0,0.0
150,degraded,0,0.0
151,degraded,0,0.0
152,degraded,0,0.0
153,degraded,0,0.0
154,degraded,0,0.0
155,degraded,0,0.0
156,degraded,1,0.3532842695713043
157,degraded,0,0.0
158,degraded,0,0.0
159,degraded,0,0.0
160,degraded,0,0.0
161,degraded,0,0.0
162,degraded,0,0.0
163,degraded,0,0.0
164,degraded,0,0.0
165,degraded,0,0.0
166,degraded,1,0.6467553377151489
167,degraded,0,0.0
168,degraded,1,0.43312710523605347
169,degraded,0,0.0
170,degraded,0,0.0
171,degraded,0,0.0
